epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
1,0.001,0.35766988708165176,0.4,0.6578947368421053,0.16666666666666666,1.0960918627679348,2.2697763442993164,1.1161171235144138,0.3178753584950141,0.1588901245475209,3.6507271260023115,80,24531,1.1817310445010663,0.7875,0.5135741401463747,0.4375,0.4125,0.16113636363636363,0.4,0.0,1.0,0.8665210604667664,0.08986806869506836,1.0456435322761535,0.3142536548796025,0.15097919700836593,3.2014005978902182,15,4400,1.1462939659754434,0.8,0.28588404655456545,0.4,0.4
2,0.001,0.3740165504871387,0.4375,0.10526315789473684,0.7380952380952381,0.7941132567822933,2.2014453411102295,1.0397879160940646,0.3097479594810278,0.1528374663849159,3.067143499851227,80,24531,1.1048314236104488,0.8416666666666667,0.2568218084052205,0.525,0.525,0.4218181818181818,0.6,1.0,0.0,0.6726027528444926,0.0978851318359375,0.9686323523521423,0.29478617221794345,0.14271469774571333,2.810654815038045,15,4400,1.0500763694445292,0.8,0.2386866589387258,0.4,0.4
3,0.001,0.4675716440422323,0.525,0.6052631578947368,0.4523809523809524,0.7076093722134829,2.1650712490081787,0.9866563320159912,0.2942256328388353,0.14521233965289865,2.880162325501442,80,24531,1.0645209223031997,0.8375,0.24275136664509772,0.5125,0.5125,0.605,0.4,0.0,1.0,0.7381381193796793,0.09211301803588867,0.8802248001098633,0.2666674610430544,0.12599130488254806,2.7306976318359375,15,4400,0.9848501086235046,0.8,0.2549691557884216,0.4,0.4
4,0.001,0.5353226529697118,0.55,0.23684210526315788,0.8333333333333334,0.7333832055330276,2.207117795944214,0.9276791103184223,0.26526793203256305,0.132382365475515,2.7692106664180756,80,24531,0.9782092854380607,0.8333333333333334,0.25987809151411057,0.5,0.5,0.5713636363636364,0.4,0.0,1.0,0.7766167124112447,0.09448933601379395,0.8379518409570058,0.2470907838608731,0.12188921399583871,2.6413569927215574,15,4400,0.8906074206034342,0.8,0.272361954053243,0.4,0.4
5,0.001,0.5912518853695324,0.55,0.3157894736842105,0.7619047619047619,0.6550803251564503,2.1374666690826416,0.8378292303532362,0.24545318800212654,0.12162465820717154,2.4730735674500464,80,24531,0.8695285022258759,0.875,0.22127100471407174,0.625,0.625,0.6102272727272727,0.6,1.0,0.0,0.6688890834649404,0.10372233390808105,0.7837700645128886,0.23052023779262196,0.11390103715217927,2.4103884220123293,15,4400,0.8446101705233257,0.8666666666666667,0.22623811860879262,0.6,0.6
6,0.001,0.6048673107496637,0.6125,0.7631578947368421,0.47619047619047616,0.6415035447105766,2.1876676082611084,0.8309126280248165,0.23885168649487362,0.1210273032405321,2.4520191624760628,80,24531,0.8623084895312786,0.85,0.23458895469084382,0.55,0.55,0.5647727272727273,0.4,0.0,1.0,0.8899699211120605,0.09725093841552734,0.8091491301854451,0.2380545506084507,0.1149869274517352,2.7044715245564777,15,4400,0.877259095509847,0.8,0.25618668595949806,0.4,0.4
7,0.001,0.6194610900493254,0.6125,0.3157894736842105,0.8809523809523809,0.6694030743557959,2.176447629928589,0.7933611690998077,0.23419200674159213,0.11522106423981326,2.3947209864854813,80,24531,0.8194619972258806,0.8583333333333333,0.22498946981504558,0.575,0.575,0.6568181818181819,0.6,1.0,0.0,0.6875801692406337,0.09260272979736328,0.759987066189448,0.2277101921256293,0.11048005371439186,2.3729082981745404,15,4400,0.810978909333547,0.9111111111111111,0.22872429887453716,0.7333333333333333,0.7333333333333333
8,0.001,0.621377033141739,0.625,0.7894736842105263,0.47619047619047616,0.701814925763756,2.148648262023926,0.8029567215591669,0.2346902853076532,0.11606851659022996,2.4570737317204476,80,24531,0.8409554913640023,0.8625,0.22269318383187056,0.5875,0.5875,0.5786363636363636,0.4666666666666667,0.2222222222222222,0.8333333333333334,0.987076144417127,0.08899140357971191,0.8526014924049378,0.2485604630986398,0.12286313552748074,2.8836013952891033,15,4400,0.9097111781438192,0.8444444444444444,0.26842513382434846,0.5333333333333333,0.5333333333333333
9,0.001,0.6084138437079614,0.625,0.39473684210526316,0.8333333333333334,0.6768063700990752,2.2155380249023438,0.8087395686656237,0.23226792576429064,0.11741963154192701,2.429825374484062,80,24531,0.8402679044753313,0.8833333333333333,0.20802306805271656,0.65,0.65,0.6263636363636363,0.8,0.8888888888888888,0.6666666666666666,0.7468506395816803,0.08876252174377441,0.779319695631663,0.22137448680333116,0.11258213452148166,2.477396297454834,15,4400,0.832446140050888,0.8666666666666667,0.23755963519215584,0.6,0.6
10,0.001,0.6180343239166769,0.625,0.7105263157894737,0.5476190476190477,0.772937649890082,2.151383399963379,0.8606778746470809,0.22690098510416462,0.12471977998333418,2.656345172226429,80,24531,0.9064531583338976,0.8791666666666667,0.2325529867201112,0.6375,0.6375,0.6065909090909091,0.5333333333333333,0.2222222222222222,1.0,0.9668548648556073,0.10384345054626465,0.8277144034703573,0.2257575455003164,0.11909646706316959,2.8265412012736,15,4400,0.873555068174998,0.8222222222222222,0.316833654542764,0.4666666666666667,0.4666666666666667
