epoch,lr,train_accuracy,train_count_accuracy,train_count_accuracy_2e,train_count_accuracy_3e,train_count_ce,train_elapsed_sec,train_fraction_ce,train_fraction_mae,train_fraction_mse,train_loss,train_num_events,train_num_hits,train_origin_ce,train_slot_accuracy,train_slot_bce,train_slot_count_accuracy,train_slot_exact_accuracy,val_accuracy,val_count_accuracy,val_count_accuracy_2e,val_count_accuracy_3e,val_count_ce,val_elapsed_sec,val_fraction_ce,val_fraction_mae,val_fraction_mse,val_loss,val_num_events,val_num_hits,val_origin_ce,val_slot_accuracy,val_slot_bce,val_slot_count_accuracy,val_slot_exact_accuracy
1,0.001,0.39478020846207723,0.4625,0.4936708860759494,0.43209876543209874,1.0009348560124636,3.0023365020751953,1.0714098043739795,0.31268452044613393,0.15567778763850668,2.456932235509157,160,48546,1.089991630986333,0.8354166666666667,0.47671914561651646,0.50625,0.50625,0.4188717486769508,0.4,0.0,1.0,0.7579288264115651,0.2513546943664551,0.992633310953776,0.3009549079882563,0.14973898233828842,2.2453067898750305,30,8881,1.0007136285305023,0.8,0.5018703331549962,0.4,0.4
2,0.001,0.4001771515675854,0.50625,0.0379746835443038,0.9629629629629629,0.7359063275158405,2.7131268978118896,1.046135526895523,0.3113032146316521,0.15439531840904286,2.332176375389099,160,48546,1.0511551793664693,0.8354166666666667,0.43852205532602967,0.50625,0.50625,0.4224749465150321,0.4,0.0,1.0,0.7477477033933003,0.2724800109863281,0.9971579551696778,0.30398852246165503,0.1498514497525761,2.2404706319173178,30,8881,0.994393793741862,0.8,0.496846704185009,0.4,0.4
3,0.001,0.40155728587319245,0.475,0.6075949367088608,0.345679012345679,0.741240319237113,2.733222246170044,1.0374804206192494,0.30689861602258295,0.15410175034413745,2.312113803625107,160,48546,1.042013105377555,0.8354166666666667,0.42186111956834793,0.50625,0.50625,0.4224749465150321,0.4,0.0,1.0,0.8003139714399974,0.2761683464050293,1.00979079802831,0.3088777398703375,0.150343044807065,2.283042478561401,30,8881,1.0164878606796264,0.8,0.4835050786534945,0.4,0.4
4,0.001,0.4020310633213859,0.51875,0.34177215189873417,0.691358024691358,0.7337771689519286,2.980325937271118,1.0407676305621862,0.30839042313553783,0.15407758875984554,2.310167471319437,160,48546,1.0420755930244923,0.8354166666666667,0.4028440332505852,0.50625,0.50625,0.4224749465150321,0.4,0.0,1.0,0.7147674520810445,0.24753308296203613,1.0025901158650716,0.3060261120050961,0.1501325312840376,2.234889586766561,30,8881,1.005279048283895,0.8,0.4203344871600469,0.4,0.4
5,0.001,0.40063032999629217,0.50625,0.5949367088607594,0.41975308641975306,0.7086467329412699,2.951289415359497,1.0360667284578085,0.3070140708070139,0.1538579235834013,2.284430990368128,160,48546,1.038810545951128,0.8354166666666667,0.33912185868248346,0.50625,0.50625,0.4224749465150321,0.6,1.0,0.0,0.6846771359443664,0.25131702423095703,0.9942151625951131,0.30301454250520715,0.14961157078752915,2.1941043217976888,30,8881,0.9960054636001587,0.8,0.3347412114342054,0.4,0.4
6,0.001,0.40491492604952006,0.475,0.1518987341772152,0.7901234567901234,0.7254398675635457,3.018937110900879,1.0354993920773268,0.3095776191459266,0.15321173333805668,2.274570010602474,160,48546,1.0370602983981372,0.8354166666666667,0.28461169647052886,0.50625,0.50625,0.4224749465150321,0.4,0.0,1.0,0.7057758152484894,0.3021104335784912,0.9969692548116048,0.3031521848818295,0.15016170505460702,2.1915883382161456,30,8881,0.9989203631877899,0.8,0.272717905541261,0.4,0.4
7,0.001,0.40341119762699296,0.53125,0.7215189873417721,0.345679012345679,0.7069882182404399,3.004901170730591,1.0365236848592758,0.3068509916462032,0.15399375216617886,2.266075421869755,160,48546,1.0374785892665386,0.8375,0.25337752597406504,0.5125,0.5125,0.4224749465150321,0.4,0.0,1.0,0.7102049926916758,0.25253844261169434,0.9944551050662994,0.30329417319612423,0.14957150111708767,2.1836939016977945,30,8881,0.9965896745522816,0.8,0.2530406519770622,0.4,0.4
8,0.001,0.40028014666501877,0.49375,0.43037974683544306,0.5555555555555556,0.7092682600021363,2.988286018371582,1.034255525097251,0.3074127801187164,0.15358692173528488,2.2598302990198134,160,48546,1.0349018331617117,0.8229166666666666,0.2440965248271823,0.46875,0.46875,0.4192095484742709,0.4,0.0,1.0,0.6959926029046376,0.2502572536468506,0.9980341732501984,0.3049842823653752,0.14968019995371537,2.1820692817370095,30,8881,0.9980649491151173,0.8666666666666667,0.2338580866654714,0.6,0.6
9,0.001,0.40182507312651916,0.5125,0.5443037974683544,0.48148148148148145,0.6949083270505071,2.8340373039245605,1.0330802462995052,0.30707344108432716,0.15347236686790997,2.2554988242685794,160,48546,1.0333782453089952,0.8083333333333333,0.25029334593564273,0.425,0.425,0.4224749465150321,0.6,1.0,0.0,0.6751208086808522,0.24331235885620117,0.9913316647211711,0.3010928791333877,0.14966817014108114,2.1638436198234556,30,8881,0.9902298231919606,0.8222222222222222,0.23628973017136257,0.4666666666666667,0.4666666666666667
10,0.001,0.40330820252955957,0.48125,0.7974683544303798,0.1728395061728395,0.710940077342093,2.8653061389923096,1.0353295348584652,0.3061623365025838,0.15398272363893287,2.260423818975687,160,48546,1.0353338066488504,0.8270833333333333,0.23786234091967345,0.48125,0.48125,0.4188717486769508,0.4,0.0,1.0,0.7099718074003856,0.29436469078063965,1.0021045923233032,0.3060913622889375,0.15004689041296515,2.189741373062134,30,8881,0.998634260892868,0.8222222222222222,0.2350407173236211,0.4666666666666667,0.4666666666666667
11,0.001,0.4032876035100729,0.54375,0.189873417721519,0.8888888888888888,0.698489585146308,2.9516639709472656,1.0303542744368315,0.30854201107678236,0.15276718891919805,2.248217000812292,160,48546,1.0319204047322272,0.8541666666666666,0.23122207885608076,0.5625,0.5625,0.4220245467852719,0.6,1.0,0.0,0.6808149566253027,0.251708984375,0.9929637014865875,0.29635371931057475,0.15059477009458888,2.1675570329030354,30,8881,0.9922120650609334,0.8666666666666667,0.23109140594800312,0.6,0.6
12,0.001,0.40264903390598605,0.5,0.6455696202531646,0.35802469135802467,0.7228587003424763,2.8950977325439453,1.0359063353389502,0.30682312659877825,0.15381333799245026,2.265989474952221,160,48546,1.0367840357124805,0.8125,0.24363687010481955,0.4375,0.4375,0.4224749465150321,0.4,0.0,1.0,0.7497784932454427,0.26465415954589844,0.9998182594776154,0.30553399367840384,0.14984972756358098,2.2023666381835936,30,8881,0.9995501875877381,0.8,0.26521240423123044,0.4,0.4
13,0.001,0.4016808799901125,0.45625,0.6582278481012658,0.25925925925925924,0.7446746960282326,2.8350281715393066,1.0373906522989274,0.30553369044935885,0.15421056732334618,2.272088894993067,160,48546,1.0395815577358007,0.85,0.2309087019879371,0.55,0.55,0.3827271703636978,0.6,1.0,0.0,0.6873539090156555,0.24720454216003418,1.0145737032095592,0.3103715884713705,0.15073636783604255,2.20188178618749,30,8881,1.001975381374359,0.8,0.23930962334076564,0.4,0.4
14,0.001,0.41006468092118814,0.525,0.08860759493670886,0.9506172839506173,0.6984021876007318,2.917310953140259,1.034086887538433,0.3092285692268213,0.15313370855362377,2.2545589938759805,160,48546,1.0336804013699292,0.85,0.23555635064840316,0.55,0.55,0.4213489471906317,0.4,0.0,1.0,0.7085130910078684,0.2490367889404297,0.9991553982098897,0.30558326218246595,0.14971762277289105,2.1851222554842633,30,8881,0.9966424266497295,0.8111111111111111,0.2381091276804606,0.43333333333333335,0.43333333333333335
15,0.001,0.40802537799200755,0.46875,0.27848101265822783,0.654320987654321,0.7043022233992815,2.915379762649536,1.0305149540305139,0.308609696824535,0.15281065097115898,2.2502432711422444,160,48546,1.0324744429439305,0.83125,0.231967135053128,0.49375,0.49375,0.4156063506361896,0.4,0.0,1.0,0.7012741843859355,0.24248766899108887,0.9912791013717651,0.30211084289145945,0.14953976865388455,2.172910471757253,30,8881,0.9955948968728383,0.8666666666666667,0.2289082184433937,0.6,0.6
16,0.001,0.40347299468545295,0.5375,0.6708860759493671,0.4074074074074074,0.6933032296597957,2.87082576751709,1.0316149517893791,0.3069680488521392,0.1533600607018167,2.247648814320564,160,48546,1.031575148552656,0.84375,0.22899024486541747,0.53125,0.53125,0.405584956649026,0.5666666666666667,0.2777777777777778,1.0,0.6925682743390401,0.23891019821166992,0.9915628055731456,0.30303799235234186,0.14935344259637712,2.17598264614741,30,8881,0.9949138681093852,0.8222222222222222,0.25496150329709055,0.4666666666666667,0.4666666666666667
