group (likely analyzer),histogram
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/ancestors
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/cluster_RMSX
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/cluster_RMSY
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/cluster_distance
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/correctly_predicted_events
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/dE_cl2_vs_cl1
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/energy_percentage
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/mixed_hit_energy
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/number_of_clusters
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/number_of_clusters_first_layer
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/number_of_clusters_per_layer
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/same_ancestor
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_clue_distance
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_clue_distance_vs_layer
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_clue_x_residual
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_clue_y_residual
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_distance
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/sp_ele_distance_vs_purity
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/tag0frac_vs_SPdist
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/total_energy_vs_hits
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/total_energy_vs_purity
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/total_rechits_in_event
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/unclustered_hits
EcalClusterAnalyzer / CLUE,EcalClusterAnalyzer/unclustered_hits_percentage
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/is_noise_hit
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_hit_if_more_than_2hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_mod_with_0hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_mod_with_1hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_mod_with_2hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_mod_with_more_than_2hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_noise_hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_rec_hits
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/num_sim_hits_per_cell
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_x
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_x:layer
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_y
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_y:layer
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_z
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/rec_sim_hit_residual_z:layer
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/sim_edep:rec_amplitude
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/sim_edep:rec_energy
EcalDigiVerify (dqm.EcalDigiVerify),EcalDigiVerify/total_rec_energy
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/ep_ang
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/ep_sep
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/first_near_photon_layer
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/n_linreg_segments
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/n_straight_tracks
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/n_tracking_hits
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/recoil_pt
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/recoil_pz
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/recoil_x
EcalMipTrackingFeatures (dqm.EcalMipTrackingFeatures),EcalMipTrackingFeatures/recoil_y
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/avg_layer_hit
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/deepest_layer_hit
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/e_containment_energy
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/max_cell_dep
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/num_readout_hits
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/out_containment_energy
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/ph_containment_energy
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/shower_rms
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/std_layer_hit
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/summed_back
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/summed_det
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/summed_iso
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/x_std
EcalShowerFeatures (dqm.EcalShowerFeatures),EcalShowerFeatures/y_std
EcalVetoResults / ECAL veto DQM (dqm.EcalVetoResults),EcalVetoResults
EcalVetoResults / ECAL veto DQM (dqm.EcalVetoResults),EcalVetoResults/bdt_disc
EcalVetoResults / ECAL veto DQM (dqm.EcalVetoResults),EcalVetoResults/bdt_disc_log
EcalVetoResults / ECAL veto DQM (dqm.EcalVetoResults),EcalVetoResults/bdt_pass
EcalVetoResults / ECAL veto DQM (dqm.EcalVetoResults),EcalVetoResults/fiducial
HCal DQM / inefficiency,HcalInefficiencyAnalyzer
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/efficiency
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/inefficiency_back
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/inefficiency_bottom
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/inefficiency_left
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/inefficiency_right
HCal DQM / inefficiency,HcalInefficiencyAnalyzer/inefficiency_top
HCal DQM / inefficiency,hcal_dqm_back
HCal DQM / inefficiency,hcal_dqm_back/along_x
HCal DQM / inefficiency,hcal_dqm_back/along_y
HCal DQM / inefficiency,hcal_dqm_back/along_z
HCal DQM / inefficiency,hcal_dqm_back/energy
HCal DQM / inefficiency,hcal_dqm_back/hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_back/hit_time
HCal DQM / inefficiency,hcal_dqm_back/hit_z
HCal DQM / inefficiency,hcal_dqm_back/layer
HCal DQM / inefficiency,hcal_dqm_back/layer:strip
HCal DQM / inefficiency,hcal_dqm_back/max_pe
HCal DQM / inefficiency,hcal_dqm_back/max_pe_adc
HCal DQM / inefficiency,hcal_dqm_back/max_pe_adc_time
HCal DQM / inefficiency,hcal_dqm_back/max_pe_time
HCal DQM / inefficiency,hcal_dqm_back/noise
HCal DQM / inefficiency,hcal_dqm_back/pe
HCal DQM / inefficiency,hcal_dqm_back/sim_along_x
HCal DQM / inefficiency,hcal_dqm_back/sim_along_y
HCal DQM / inefficiency,hcal_dqm_back/sim_along_z
HCal DQM / inefficiency,hcal_dqm_back/sim_energy
HCal DQM / inefficiency,hcal_dqm_back/sim_energy_per_bar
HCal DQM / inefficiency,hcal_dqm_back/sim_hit_multiplicity
HCal DQM / inefficiency,hcal_dqm_back/sim_hit_time
HCal DQM / inefficiency,hcal_dqm_back/sim_layer
HCal DQM / inefficiency,hcal_dqm_back/sim_layer:strip
HCal DQM / inefficiency,hcal_dqm_back/sim_num_bars_hit
HCal DQM / inefficiency,hcal_dqm_back/sim_total_energy
